object_id,koi_period,koi_prad,koi_teq,koi_insol,koi_disposition,category,score,flags,disposition_compare,is_disposition_match,color_hint
K03729.02,6.87366412,,,,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03730.01,0.668483494,138.76,2082.0,4439.53,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03731.01,1.070272827,28.73,1224.0,528.52,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K07799.01,0.977170246,5.08,3226.0,25506.22,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03732.01,1.135930136,52.05,1836.0,2683.57,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03807.01,1.801863222,145.36,2721.0,12930.1,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03808.01,54.77145968,34.32,777.0,86.12,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03809.01,1.674690886,29.78,1813.0,2558.96,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03810.01,1.013774136,18.59,827.0,110.51,CANDIDATE,anomalous_signal,0.7,FLAG_ANOMALOUS_DEPTH,mismatch,False,red
K03811.01,290.1401717,11.58,304.0,2.02,CANDIDATE,habitable_zone_candidate,0.55,,mismatch,False,red
K02078.02,161.515617,2.88,211.0,0.47,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K03884.01,2.112405306,19.01,1225.0,533.2,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03885.01,1.870990236,26.1,1668.0,1824.38,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03886.01,5.56648691,43.67,2618.0,11089.75,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K07787.01,1.33253834,0.64,1453.0,1051.03,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03887.01,1.241483276,27.25,1847.0,2761.35,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03656.01,3.01551943,155.81,1837.0,2692.16,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03657.01,2.112395777,115.26,1419.0,957.45,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K01932.02,14.8444836,2.49,1092.0,336.06,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K03658.01,2.252417903,27.09,782.0,88.43,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03659.01,2.900613144,38.63,1289.0,650.9,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03660.01,174.7697122,38.79,294.0,1.77,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03733.01,31.43284649,57.21,577.0,26.19,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K02004.03,1.72110057,0.7,1607.0,1575.2,CANDIDATE,rocky_candidate,0.6,,mismatch,False,red
K03734.01,9.72675447,995.22,1363.0,815.99,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03735.01,8.096939227,68.48,1194.0,481.48,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03736.01,0.64234865,25.76,1829.0,2653.37,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03737.01,130.4194187,57.51,473.0,11.79,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03812.01,1.78526527,41.19,1815.0,2563.99,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03813.01,4.8591441,6.9,1303.0,681.41,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03814.01,5.95077813,32.26,2366.0,7394.55,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K02048.02,99.673478,576.14,262.0,1.11,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03815.01,4.7425521,7.27,1159.0,426.49,CANDIDATE,candidate,0.5,,match,True,black
K03888.01,0.955297055,18.16,1550.0,1367.42,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03889.01,280.476576,3.16,268.0,1.22,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03890.01,152.8255989,34.85,734.0,68.47,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03891.01,47.1096306,78.98,751.0,75.4,CANDIDATE,anomalous_signal,0.8,FLAG_RADIUS_TOO_LARGE;FLAG_ANOMALOUS_DEPTH,mismatch,False,red
K03892.01,2.41660149,0.92,1343.0,770.05,CANDIDATE,rocky_candidate,0.6,,mismatch,False,red
K03661.01,4.252082243,33.14,1064.0,303.48,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03662.01,14.18022831,62.41,873.0,137.11,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03663.01,282.5253558,8.98,264.0,1.15,CANDIDATE,habitable_zone_candidate,0.7,,mismatch,False,red
K03664.01,1.87887673,148.25,1846.0,2750.37,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03665.01,17.79391159,33.3,697.0,55.88,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03666.01,7.942583252,219.02,1285.0,644.35,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03738.01,15.85231085,679.44,725.0,65.17,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03739.01,2.415925551,300.82,3329.0,29070.1,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03740.01,0.656201038,112.77,2157.0,5094.25,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03741.01,2.617280959,395.94,1689.0,1918.98,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03741.02,18.577903,1.36,879.0,140.97,CANDIDATE,rocky_candidate,0.6,,mismatch,False,red
K03742.01,1.412524016,68.92,1978.0,3627.17,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K01776.01,5.77676732,26.2,670.0,47.55,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K01792.01,88.40678718,4.55,410.0,6.65,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K02027.01,3.635723653,1.23,1478.0,1126.72,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K07848.01,369.181947,2.6,245.0,0.85,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K01859.01,45.3968385,21.23,437.0,8.62,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K01953.01,15.160166,2.09,821.0,107.59,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K02088.01,2.63009438,25.55,1480.0,1135.97,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K02089.01,9.40527028,25.39,938.0,182.72,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K02112.01,4.15713766,1.17,1401.0,908.82,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K02118.01,3.2136904,1.22,1591.0,1515.7,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K02127.01,2.87066026,1.72,1196.0,484.17,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K01312.02,31.24611088,,,,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K01408.02,82.37208458,,,,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03964.01,0.991105114,36.87,1257.0,589.31,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03965.01,12.42558039,21.34,563.0,23.83,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03966.01,138.944022,2.57,384.0,5.13,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K03967.01,12.4260454,2.64,706.0,58.88,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03967.02,12.4260002,2.39,706.0,58.88,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K03968.01,1.50650136,0.8,1562.0,1403.44,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K01666.01,0.968026356,1.78,2167.0,5205.91,CANDIDATE,rocky_candidate,0.6,,mismatch,False,red
K01667.01,1.179969562,120.02,2960.0,18136.88,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K01668.01,10.10176739,26.09,829.0,111.86,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
K01670.01,10.57910009,2.03,929.0,175.79,CANDIDATE,super_earth_or_mini_neptune,0.55,,mismatch,False,red
K01671.01,1.480283464,0.97,1822.0,2597.27,CANDIDATE,rocky_candidate,0.6,,mismatch,False,red
K01782.01,15.42040937,16.62,661.0,45.03,FALSE POSITIVE,likely_false_positive,0.9,,match,True,black
